1,2,1
2,1,1
2,2,2
2,3,3
3,3,1
3,4,1
3,5,1
4,4,4
4,5,5
4,6,6
5,7,3
5,8,1
5,9,5
6,10,1
6,6,2
6,4,3
7,3,1
7,5,2
7,7,1
8,8,1
8,3,4
8,5,3
9,3,1
9,10,1
9,2,1
10,2,3
10,4,2
10,6,1
11,5,1
11,8,1
11,3,1
12,4,1
12,8,1
12,2,1
13,6,1
13,7,2
13,9,1
14,4,1
14,5,1
14,6,1
15,3,1
15,7,2
15,9,1
16,7,1
16,2,2
16,1,2
17,2,1
17,3,1
17,5,1
18,2,1
18,4,1
18,10,1
19,4,1
19,8,1
19,4,1
20,4,2
20,8,2
20,9,1
21,3,2
21,6,3
21,7,1
21,8,1
22,4,2
22,7,1
22,8,1
22,2,3
22,1,4
23,2,1
23,3,1
23,4,1
